,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 시흥시,37.43507779999999,126.7966754, 초등 영어 봉사자 ,늘사랑지역아동센터,대한민국 경기도 시흥시 은행동 248-5,2019-08-22 2019-12-31
1,경기도 시흥시,37.3447724,126.7812986, 밑반찬배달 도시락가방 및 반찬통 세척 봉사자 모집합니다,거모종합사회복지관,대한민국 경기도 시흥시 거모동 1738-9,2019-08-20 2019-12-30
2,경기도 시흥시,37.369946,126.874096, 저소득 홀몸어르신들을 위한 밑반찬서비스 조리 및 배달 봉사자 모집,목감종합사회복지관,대한민국 경기도 시흥시 조남동 598-6,2019-08-14 2019-12-31
3,경기도 시흥시,37.3811958,126.8021314, [시흥시사회복지협의회] 사회복지의 날 기념식 행사 자원봉사자 모집,시흥시사회복지협의회,대한민국 경기도 시흥시 연성동 새재로17번길 6,2019-09-06 2019-09-06
4,경기도 시흥시,37.4453274,126.7848972, 아이누리 돌봄나눔터 (대야종합사회복지관) 대학생 자원봉사자 모집,대야종합사회복지관,대한민국 경기도 시흥시 대야동 484-5,2019-08-09 2019-12-31
5,경기도 시흥시,37.3686116,126.8132967, [시흥시노인종합복지관] 어르신 영상 인생노트 제작 프로젝트 자원봉사자 모집,시흥시노인종합복지관,대한민국 경기도 시흥시 능곡동 장현능곡로 214,2019-08-26 2019-12-31
6,경기도 시흥시,37.4330292,126.7927343, [작은자리복지관] 대학생  학습멘토링 자원봉사자를 모집합니다,작은자리종합사회복지관,대한민국 경기도 시흥시 신천동 882-2,2019-08-12 2019-12-31
7,경기도 시흥시,37.3642219,126.7374986, 함현상생종합사회복지관 아이누리 나눔 돌봄터 자원봉사자 모집,함현상생종합사회복지관,대한민국 경기도 시흥시 정왕동 1878-11,2019-07-22 2019-12-31
8,경기도 시흥시,37.4382138,126.7881861, 요양병원 프로그램 보조 및 생활지원,의료법인 자운의료재단 강남요양병원,대한민국 경기도 시흥시 신천동 774,2019-08-01 2019-09-30
9,경기도 시흥시,37.3472745,126.7406828, 멘토링 모집,정왕종합사회복지관,대한민국 경기도 시흥시 정왕본동 1800-8,2019-07-03 2019-12-31
