,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 안양시 동안구,,, 제회 안양시장애인론볼연맹회장배 론볼대회 자원봉사자 모집,안양시장애인자립생활센터,,2019-09-19 2019-09-19
1,경기도 안양시 동안구,37.3922779,126.9565599, [유진벨재단] 종이학 목걸이 만들기,재단법인 유진벨,대한민국 경기도 안양시 관양동 시민대로 230 KR 아크로타워,2019-09-03 2019-12-26
2,경기도 안양시 동안구,37.405418,126.9345087, 시설봉사(식당보조업무),평화의집,대한민국 경기도 안양시 동안구 비산1동 임곡로 60,2019-07-30 2019-09-30
3,경기도 안양시 동안구,37.3955552,126.9475884,  경기도와 이마트가 함께하는 희망꾸러미,안양시부흥종합사회복지관,대한민국 경기도 안양시 동안구 비산동 1102-9,2019-09-07 2019-09-07
4,경기도 안양시 동안구,37.37989049999999,126.9509774, [안양시노인종합복지관] 프로그램 보조,안양시노인종합복지관,대한민국 경기도 안양시 동안구 호계동 경수대로665번길 74-30,2019-08-23 2019-11-29
5,경기도 안양시 동안구,37.405418,126.9345087, 식당보조(설거지봉사),평화의집,대한민국 경기도 안양시 동안구 비산1동 임곡로 60,2019-07-01 2019-08-31
6,경기도 안양시 동안구,37.40426130000001,126.9713796, [관양흰돌지역아동센터]초등부 학습지원 봉사자 모집,관양흰돌지역아동센터,대한민국 경기도 안양시 동안구 관양2동 관악대로434번길 9-5,2019-06-10 2019-12-31
7,경기도 안양시 동안구,,, 중학생 수학멘토를 구합니다,해피존 해밀지역아동센터,,2019-05-10 2019-12-31
8,경기도 안양시 동안구,37.4058037,126.9340617, [비산종합사회복지관] 청소년 프로그램 자원봉사자를 모집합니다 ,안양시비산종합사회복지관,대한민국 경기도 안양시 동안구 비산동 510-5,2019-05-06 2019-12-13
9,경기도 안양시 동안구,,, 고등학생 기초수학 멘토링 학습봉사자를 구합니다 ,해피존 해밀지역아동센터,,2019-05-10 2019-12-31
10,경기도 안양시 동안구,37.3672816,126.9547111, 이미용 봉사자를 모집합니다,호계실버타운,대한민국 경기도 안양시 동안구 호계1동 엘에스로 45,2018-08-30 2019-12-31
11,경기도 안양시 동안구,37.3955552,126.9475884, [평일오전] 청춘식당 봉사자 모집,안양시부흥종합사회복지관,대한민국 경기도 안양시 동안구 비산동 1102-9,2019-01-22 2019-12-31
