,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 의정부시경기도 안양시,37.7257667,127.0557907, 피아노교실 자원봉사자를 모집합니다,의정부시종합사회복지관,대한민국 경기도 의정부시 장암동 회룡로192번길 1,2019-08-19 2019-12-31
1,경기도 의정부시경기도 안양시,37.7257667,127.0557907, 아동미술교실 자원봉사자 모집합니다,의정부시종합사회복지관,대한민국 경기도 의정부시 장암동 회룡로192번길 1,2019-08-26 2019-12-31
2,경기도 의정부시경기도 안양시,,, 구세군희망나누미 의정부매장 자원봉사자,구세군희망나누미사업본부,,2019-07-25 2019-08-31
3,경기도 의정부시경기도 안양시,37.7430099,127.0634851, 일본어 강사 모집,신곡노인종합복지관,대한민국 경기도 의정부시 신곡동 129,2019-09-01 2019-12-31
4,경기도 의정부시경기도 안양시,37.7257667,127.0557907, 대학생 멘토링 봉사자를 모집합니다,의정부시종합사회복지관,대한민국 경기도 의정부시 장암동 회룡로192번길 1,2019-07-10 2020-07-01
5,경기도 의정부시경기도 안양시,37.7370525,127.0508873, 말벗 프로그램 보조,이레,대한민국 경기도 의정부시 의정부동 130-4,2019-06-21 2019-12-31
6,경기도 의정부시경기도 안양시,37.7370525,127.0508873, 정신장애인 어학(영어 한문 등) 프로그램 진행자 모집,이레,대한민국 경기도 의정부시 의정부동 130-4,2019-07-05 2019-08-30
7,경기도 의정부시경기도 안양시,37.7318507,127.047725, 이미용 봉사자를 모십니다,한서중앙병원,대한민국 경기도 의정부시 의정부3동 377-1,2019-05-06 2019-12-31
8,경기도 의정부시경기도 안양시,,, 여성긴급전화 경기북부센터 자원활동가 모집,여성긴급전화경기북부센터,,2019-03-29 2019-12-31
9,경기도 의정부시경기도 안양시,37.7430099,127.0634851, 스마트폰 강사 모집,신곡노인종합복지관,대한민국 경기도 의정부시 신곡동 129,2019-05-01 2019-12-31
10,경기도 의정부시경기도 안양시,37.7257667,127.0557907, 성인발달장애인주간보호교실 ,의정부시종합사회복지관,대한민국 경기도 의정부시 장암동 회룡로192번길 1,2019-03-13 2019-12-31
11,경기도 의정부시경기도 안양시,37.7430099,127.0634851, 뷰티 강의 진행,신곡노인종합복지관,대한민국 경기도 의정부시 신곡동 129,2019-02-11 2019-12-31
12,경기도 의정부시경기도 안양시,37.7270316,127.0824335, 시설자원봉사자를 모집합니다,노블레스요양원,대한민국 경기도 의정부시 송산1동 송산로1181번길 107-6,2019-07-01 2019-12-31
13,경기도 의정부시경기도 안양시,,, 여성긴급전화경기북부센터 자원봉사,여성긴급전화경기북부센터,,2018-11-11 2019-12-31
14,경기도 의정부시경기도 안양시,37.7466208,127.046805, [경기북부노인보호전문기관] 노인인권 및 노인학대 예방 활동을 위한 자원봉사자 모집,경기북부노인보호전문기관,대한민국 경기도 의정부시 의정부동 가능로136번길 7,2019-04-11 2019-12-31
0,경기도 의정부시경기도 안양시,37.7257667,127.0557907, 의정부시종합사회복지관 장애인주간보호교실 봉사자를 모집합니다,의정부시종합사회복지관,대한민국 경기도 의정부시 장암동 회룡로192번길 1,2018-02-01 2019-12-31
1,경기도 의정부시경기도 안양시,,, 여성긴급전화경기북부센터 자원봉사,여성긴급전화경기북부센터,,2012-11-01 2019-12-31
2,경기도 의정부시경기도 안양시,37.7530357,127.0709165, 의정부시 힐링스병원,의정부힐링스병원,대한민국 경기도 의정부시 금오동,2018-12-01 2019-12-31
