,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 화성시,37.2047824,127.0514991, [나래울]한가위  행사 보조 자원봉사자 모집,나래울종합사회복지관,대한민국 경기도 화성시 능동 1130,2019-09-10 2019-09-10
1,경기도 화성시,37.1364776,126.9206956,  화성시아르딤복지관 채움터 자원봉사 활동,화성시아르딤복지관,대한민국 경기도 화성시 향남읍 도이리 220-20,2019-08-21 2019-11-21
2,경기도 화성시,37.1364776,126.9206956, 화성시아르딤복지관 추석맞이 윷놀이 한마당 봉사활동,화성시아르딤복지관,대한민국 경기도 화성시 향남읍 도이리 220-20,2019-08-21 2019-11-22
3,경기도 화성시,37.2054656,126.8547416, 년 월 불이원 자원봉사자 모집(화성시),중증장애인요양시설 불이원,대한민국 경기도 화성시 북양동 616-1,2019-08-21 2019-08-31
4,경기도 화성시,37.2047824,127.0514991, [나래울] 도서관 사서 보조 자원봉사자 모집,나래울종합사회복지관,대한민국 경기도 화성시 능동 1130,2019-08-21 2019-12-31
5,경기도 화성시,37.1376842,126.9218931, [화성지역자활센터]사무보조업무활동,화성지역자활센터,대한민국 경기도 화성시 향남읍 도이리 산31-6,2019-08-12 2019-12-31
6,경기도 화성시,37.2020798,126.9529417, 어르신들의 따뜻한 밥상을 함께 준비해 주실 봉사자분을 모집합니다,해뜨는마을,대한민국 경기도 화성시 봉담읍 분천리 367-5,2019-08-08 2019-12-31
7,경기도 화성시,37.2047824,127.0514991, [나래울]헬스장 안내 보조 자원봉사자 모집,나래울종합사회복지관,대한민국 경기도 화성시 능동 1130,2019-08-22 2019-08-30
8,경기도 화성시,37.1286809,126.9359036, 화성시남부노인복지관 손뜨개 강사(자원봉사자) 모집,화성시남부노인복지관,대한민국 경기도 화성시 향남읍 토성로 37-22,2019-08-20 2019-12-31
9,경기도 화성시,37.2047824,127.0514991, [나래울] 장애아동 청소년 취미여가 프로그램 진행보조 자원봉사자 모집,나래울종합사회복지관,대한민국 경기도 화성시 능동 1130,2019-07-26 2019-12-31
10,경기도 화성시,37.2047824,127.0514991, [나래울] 해담은식당 배식봉사자 모집,나래울종합사회복지관,대한민국 경기도 화성시 능동 1130,2019-07-25 2019-12-26
11,경기도 화성시,37.2047824,127.0514991, (나래울) 인권지킴이(서포터즈) 모집,나래울종합사회복지관,대한민국 경기도 화성시 능동 1130,2019-07-25 2019-08-31
12,경기도 화성시,,, 어린이집 영유아 보육지원,사단법인 그린티처스,,2019-07-20 2020-02-29
13,경기도 화성시,37.2060615,126.8531894, 이미용 자원봉사 모십니다,묘희원,대한민국 경기도 화성시 북양동 616-5,2019-07-07 2019-12-31
14,경기도 화성시,37.0890145,126.9361165, 화성시아름보호작업장 자원봉사자 모집,화성시아름장애인보호작업장 양감점,대한민국 경기도 화성시 양감면 제약단지로 239,2019-07-03 2020-08-28
0,경기도 화성시,37.0800073,126.7813355, 요양원에서 이미용 간식 발맛사지 음악 미술 노래방 텃밭관리 청소 말벗 등등,믿음의집,대한민국 경기도 화성시 우정읍 운평리 294-3,2019-06-05 2020-06-05
1,경기도 화성시,37.1797339,126.9417072, 어르신생활지원도우미,보은의집,대한민국 경기도 화성시 봉담읍 복만터길 29-22,2019-06-28 2020-12-31
2,경기도 화성시,37.2128508,126.7318081, [화성시서부]장애형제방과후교실 활동보조(체육 미술 요리 체험),화성시서부종합사회복지관,대한민국 경기도 화성시 송산면 사강리 145,2019-06-14 2019-11-30
3,경기도 화성시,,, 발달장애청소년 야구동아리 지원사업 아르딤 타이거즈 활동지원 자원봉사자 모집,동탄아르딤복지관,,2019-06-07 2019-12-31
4,경기도 화성시,37.2237294,126.9529524, 굿네이버스 경기화성지부 초등인형극 봉사자 모집 ,경기화성아동보호전문기관,대한민국 경기도 화성시 봉담읍 동화리 416-4,2019-05-29 2019-12-31
5,경기도 화성시,37.2128508,126.7318081, [여울림] 홍보단 기 모집,화성시서부종합사회복지관,대한민국 경기도 화성시 송산면 사강리 145,2019-06-07 2019-12-27
6,경기도 화성시,37.2047824,127.0514991, 나래울 해담은 식당 배식봉사자 모집,나래울종합사회복지관,대한민국 경기도 화성시 능동 1130,2019-05-01 2019-12-31
7,경기도 화성시,37.1286809,126.9359036, 헬스장 기구작동 안내 및 스트레칭 지도,화성시남부노인복지관,대한민국 경기도 화성시 향남읍 토성로 37-22,2019-05-13 2019-12-31
8,경기도 화성시,37.2063816,126.8168566, 어르신을 위한 점심무료급식 봉사,더불어사는 우리,대한민국 경기도 화성시 남양동 1704,2019-05-01 2019-08-31
9,경기도 화성시,37.2237294,126.9529524, 굿네이버스 경기화성지부 유아인형극 봉사자 모집 ,경기화성아동보호전문기관,대한민국 경기도 화성시 봉담읍 동화리 416-4,2019-04-10 2019-12-31
10,경기도 화성시,37.2128508,126.7318081, [여울림] 복지관 자원봉사자 모집,화성시서부종합사회복지관,대한민국 경기도 화성시 송산면 사강리 145,2019-03-19 2019-12-31
11,경기도 화성시,37.1364776,126.9206956, 화성시아르딤복지관 찾아가는 이동목욕서비스 목욕지원 자원봉사자 모집,화성시아르딤복지관,대한민국 경기도 화성시 향남읍 도이리 220-20,2019-03-18 2019-12-31
