,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경상북도 경주시,,, 발달장애청소년자아정체성확립프로그램 박일 캠프 자원봉사자 모집,사직종합사회복지관,,2019-08-24 2019-08-25
1,경상북도 경주시,35.8765093,129.1665688, 어르신,경주시립노인전문요양병원,대한민국 경상북도 경주시 현곡면 상구리 7-4,2019-06-27 2019-09-26
2,경상북도 경주시,35.8520185,129.1010995, 복지시설재능기부봉사,굿모닝요양원,대한민국 경상북도 경주시 건천읍 내서로 1079-4,2019-05-14 2019-12-31
3,경상북도 경주시,35.7135074,129.0754513, 자원봉사,불국성림원,대한민국 경상북도 경주시 산내면 대현길 259-18,2019-06-01 2019-12-31
4,경상북도 경주시,35.8783552,129.2267153, 재능기부 봉사자 모집,늘푸른요양원,대한민국 경상북도 경주시 용강동 유림로13번길 155 4층,2019-06-17 2020-01-02
5,경상북도 경주시,35.7803641,129.3041664, 이미용 봉사,명화의집(사회복지법인나자레원),대한민국 경상북도 경주시 구정동 천사2길 22-2,2019-04-15 2019-12-31
6,경상북도 경주시,35.8477471,129.1769085, 아동관리 및 학습지도,유비지역아동센터,대한민국 경상북도 경주시 선도동 충효5길 59-2,2019-03-04 2019-12-31
7,경상북도 경주시,35.843372,129.1766568, 나눔의 집 (요양원) 봉사자 모집,나눔의 집,대한민국 경상북도 경주시 선도동 충효7길 13,2018-12-10 2019-12-31
8,경상북도 경주시,35.8477471,129.1769085, 아동관리 및 학습지도,유비지역아동센터,대한민국 경상북도 경주시 선도동 충효5길 59-2,2018-12-06 2019-12-31
9,경상북도 경주시,35.8477471,129.1769085, 급식조리업무,유비지역아동센터,대한민국 경상북도 경주시 선도동 충효5길 59-2,2018-12-10 2019-12-31
