,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,대구광역시 서구,35.8755091,128.5640882, [서구노인복지관]스마트폰 검색대회 자원봉사자를 모집합니다,서구노인복지관,대한민국 대구광역시 서구 평리1동 문화로 288,2019-08-28 2019-08-28
1,대구광역시 서구,35.8715128,128.5765898, 지역아동센터 교육봉사자 모집,영재지역아동센터,대한민국 대구광역시 서구 비산동 국채보상로 418-1 5층,2019-08-26 2019-09-06
2,대구광역시 서구,35.8610365,128.5633478, 중 고등학생 기초 학습지도 봉사자 모집,서구종합사회복지관,대한민국 대구광역시 서구 내당동 67-9,2019-08-08 2019-12-31
3,대구광역시 서구,35.8751203,128.5757544, 요양원 자원봉사자 모집합니다,보은노인전문요양원,대한민국 대구광역시 서구 비산동 국채보상로81안길 14-8,2019-08-01 2019-12-31
4,대구광역시 서구,35.8868957,128.5586343, 서구건강가정다문화가족지원센터 한국어교육 프로그램 보조 자원봉사자를 모집합니다,서구다문화가족지원센터,대한민국 대구광역시 서구 비산동 서대구로 330 5층,2019-08-09 2019-12-09
5,대구광역시 서구,35.8857115,128.578863, 년 미래엔미소클럽 카페보호작업장 커피마을 자원봉사자 모집,대구정신장애인종합재활센터미래엔미소클럽,대한민국 대구광역시 서구 원대동3가 옥산로6길 9,2019-08-01 2019-12-31
6,대구광역시 서구,35.8715128,128.5765898, 지역아동센터 교육봉사자 모집,영재지역아동센터,대한민국 대구광역시 서구 비산동 국채보상로 418-1 5층,2019-08-12 2019-08-24
7,대구광역시 서구,35.8755091,128.5640882, [서구노인복지관] 실버식당 정기 및 비정기 자원봉사자를 모집합니다,서구노인복지관,대한민국 대구광역시 서구 평리1동 문화로 288,2019-08-01 2019-08-30
8,대구광역시 서구,35.8610365,128.5633478, 어르신 도시락밑반찬 조리 봉사,서구종합사회복지관,대한민국 대구광역시 서구 내당동 67-9,2019-07-19 2020-03-31
9,대구광역시 서구,35.8850216,128.5282017, 어르신 옷입히기,샬롬노인종합센터,대한민국 대구광역시 서구 상리동 가르뱅이로16길 26,2019-06-03 2019-12-31
10,대구광역시 서구,35.8680366,128.5615216, 아동생활지도,대광지역아동센터,대한민국 대구광역시 서구 평리동 통학로17길 18-1,2019-06-01 2020-02-29
11,대구광역시 서구,35.8814882,128.5556348, 독거노인 마음잇기사업 자원봉사자 모집,비원노인복지관,대한민국 대구광역시 서구 비산동 840-21,2019-06-24 2019-12-31
12,대구광역시 서구,35.8877433,128.5702457, 기초학습봉사자를 모집합니다,베스트지역아동센터,대한민국 대구광역시 서구 원대동3가 1371-11,2019-04-08 2019-12-31
13,대구광역시 서구,35.8853304,128.5756203, 대구북부노인보호전문기관 실버사랑 봉사단 모집공고,대구북부노인보호전문기관,대한민국 대구광역시 서구 원대동3가,2019-04-04 2019-12-31
14,대구광역시 서구,35.868166,128.5644724, 중학생 학습지도,대서지역아동센터,대한민국 대구광역시 서구 평리2동 1109-1,2019-03-27 2019-12-31
0,대구광역시 서구,35.885748,128.5788694, 만 세 이상 퇴직자 유급자원봉사자 모집,서구제일종합사회복지관,대한민국 대구광역시 서구 원대동3가 옥산로6길 9,2019-04-01 2019-12-31
1,대구광역시 서구,35.8850758,128.5277612, 샬롬노인복지센터 자원봉사자 모집,샬롬노인복지센터,대한민국 대구광역시 서구 상리동 가르뱅이로16길 25,2019-03-14 2019-12-31
2,대구광역시 서구,35.8726127,128.5706821, [대구]천사무료급식소 상시 급식봉사모집,(사)전국자원봉사연맹,대한민국 대구광역시 서구 비산동 378-9,2019-03-13 2019-12-31
3,대구광역시 서구,35.8850758,128.5277612, 인지재활 프로그램 진행자 자원봉사자 모집,샬롬기억학교,대한민국 대구광역시 서구 상리동 가르뱅이로16길 25,2019-03-08 2019-12-31
4,대구광역시 서구,35.8857115,128.578863, 미래엔미소클럽 정기 봉사자 모집,대구정신장애인종합재활센터미래엔미소클럽,대한민국 대구광역시 서구 원대동3가 옥산로6길 9,2019-02-14 2019-12-31
5,대구광역시 서구,35.885748,128.5788694, 밑반찬 지원 서비스 봉사자 모집,서구제일종합사회복지관,대한민국 대구광역시 서구 원대동3가 옥산로6길 9,2019-01-14 2019-12-31
6,대구광역시 서구,35.8757971,128.5753861, 보은노인복지센터 자원봉사자 모집,보은노인복지센터,대한민국 대구광역시 서구 비산2.3동 116-3,2019-01-11 2019-12-31
7,대구광역시 서구,,, 입소시설(요양원) 봉사,간호박사요양센터,,2018-04-05 2019-12-31
