,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,대전광역시 서구,36.3633695,127.3695764, 거동불편노인 도시락배달,월드비전 한밭종합사회복지관,대한민국 대전광역시 서구 월평동 218,2019-08-21 2019-12-31
1,대전광역시 서구,36.3633695,127.3695764, 기아체험 대학생 봉사자 모집 ,월드비전 한밭종합사회복지관,대한민국 대전광역시 서구 월평동 218,2019-08-23 2019-08-24
2,대전광역시 서구,36.3633695,127.3695764, 사랑의 빵 동전 모으기 봉사자 (재공고),월드비전 한밭종합사회복지관,대한민국 대전광역시 서구 월평동 218,2019-08-26 2019-09-18
3,대전광역시 서구,,, 대전 방과후 봉사자 모집,대전,,2019-08-19 2019-09-30
4,대전광역시 서구,36.2245373,127.3351664, 음악치료사를 모십니다,한뜻마을,대한민국 대전광역시 서구 장안동 513-10,2019-08-14 2019-12-31
5,대전광역시 서구,36.2555544,127.3420119, [실버누리요양원] 봉사자님들을 초대합니다(정기),실버누리요양원,대한민국 대전광역시 서구 흑석동 903,2019-08-13 2019-12-31
6,대전광역시 서구,36.3633695,127.3695764, 사랑의 빵 동전모으기 캠페인,월드비전 한밭종합사회복지관,대한민국 대전광역시 서구 월평동 218,2019-08-26 2019-09-18
7,대전광역시 서구,,, 유아 마라톤 행사 보조,대전,,2019-09-09 2019-09-09
8,대전광역시 서구,36.3613847,127.3723731, 장애아동탁아방 무지개교실 일일캠프,월평종합사회복지관,대한민국 대전광역시 서구 월평2동,2019-08-23 2019-08-23
9,대전광역시 서구,36.3044942,127.3690925, 어르신들 식사수발 및 청소 등,봄빛노인요양원,대한민국 대전광역시 서구 정림동 128-4,2019-08-06 2020-12-31
10,대전광역시 서구,,,  세계 자살예방의 날 기념행사 및 생명존중도시 대전 선포식 자원봉사자 모집,대전광역정신건강복지센터,,2019-09-02 2019-09-02
11,대전광역시 서구,36.2555544,127.3420119, [실버누리요양원] 봉사자님들을 초대합니다(환경관리),실버누리요양원,대한민국 대전광역시 서구 흑석동 903,2019-07-25 2019-12-31
12,대전광역시 서구,,, <생명사랑밤길걷기 서포터즈를 모집합니다>,생명종합사회복지관,,2019-09-21 2019-09-22
13,대전광역시 서구,36.3525506,127.3872136, 사무보조(컴퓨터 입력),재)사랑의장기기증운동본부대전충남지역운동본부,대한민국 대전광역시 서구 둔산동 1405,2019-07-22 2019-12-31
