,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,부산광역시 수영구,35.1641205,129.1205299, 이미용봉사,백산실버주간보호센터,대한민국 부산광역시 수영구 민락동 무학로69번길,2019-08-22 2020-12-31
1,부산광역시 수영구,35.1460314,129.1115558, 사무실 사무보조 자원봉사,부산수영시니어클럽,대한민국 부산광역시 수영구 남천2동 7-17,2019-08-26 2019-08-29
2,부산광역시 수영구,35.1614578,129.109279, 미용봉사 해주실 봉사자분 구합니다,의)백세의료재단백세요양병원,대한민국 부산광역시 수영구 광안동 533-16,2019-08-21 2019-12-31
3,부산광역시 수영구,,, 장애비장애청소년 통합캠프 자원봉사자 모집,부산시장애인종합복지관,,2019-07-31 2019-08-31
4,부산광역시 수영구,35.1593515,129.1110849, [홀트수영복지관]밑반찬서비스 배달봉사자 모집,홀트수영종합사회복지관,대한민국 부산광역시 수영구 광안동 장대골로 20-5,2019-07-10 2019-12-31
5,부산광역시 수영구,35.1670187,129.1159209, 주간보호 레크 보조 및 어르신 활동 보조,나래실버데이케어,대한민국 부산광역시 수영구 광안3동 수영로 690-7,2019-07-03 2019-12-31
6,부산광역시 수영구,,, 밀알복지재단 행사 보조,사회복지법인 밀알복지재단 부산지부,,2019-07-03 2019-08-30
7,부산광역시 수영구,,,  보육맘(육아상담 및 육아 정보 안내 자원봉사자) 모집합니다,부산광역시육아종합지원센터,,2019-06-21 2019-12-31
8,부산광역시 수영구,,, 보육맘(육아상담 및 육아 정보 안내 자원봉사자) 모집합니다,부산광역시육아종합지원센터,,2019-06-21 2019-12-31
9,부산광역시 수영구,35.1672953,129.1158369, 장애인직업재활시설 도영하우스에서 자원봉사자를 모집합니다,도영하우스,대한민국 광안동 51동 5 51 수영메디세움 KR 부산광역시 수영구 광안동 51-5번지,2019-06-20 2019-12-31
10,부산광역시 수영구,35.1709562,129.0986325, 부산종합사회복지관) 경로식당 자원봉사 모집,부산종합사회복지관,대한민국 부산광역시 수영구 망미동 금련로43번길 54,2019-08-06 2019-09-30
11,부산광역시 수영구,35.1606142,129.1099546, 아동복지시설 동산원 중고등부 학습봉사자 모집,동산원,대한민국 부산광역시 수영구 광안동 536-44,2019-05-30 2019-12-31
12,부산광역시 수영구,35.1398377,129.1114171, 엄마손 봉사 한끼나눔,(복)불국토 수영구노인복지관,대한민국 부산광역시 수영구 남천동 552,2019-05-30 2019-12-31
13,부산광역시 수영구,35.1709562,129.0986325, 성인장애인 대상 봉사활동 인원 모집,부산종합사회복지관,대한민국 부산광역시 수영구 망미동 금련로43번길 54,2019-05-08 2019-12-31
14,부산광역시 수영구,35.1747178,129.112646, 수영지역아동센터 학습지원 봉사자 모집,수영지역아동센터,대한민국 부산광역시 수영구 망미2동 망미번영로88번길 25,2019-04-02 2019-12-31
0,부산광역시 수영구,35.1683235,129.1133174, 손발톱 깍아주기,수영나라요양병원,대한민국 부산광역시 수영구 광안3동 1070-1,2019-03-21 2019-12-31
1,부산광역시 수영구,35.1398377,129.1114171, 사회교육프로그램 스마트폰 교육  보조,(복)불국토 수영구노인복지관,대한민국 부산광역시 수영구 남천동 552,2019-03-06 2019-12-31
2,부산광역시 수영구,35.1398377,129.1114171, 실버스트레칭 자원봉사자 모집,(복)불국토 수영구노인복지관,대한민국 부산광역시 수영구 남천동 552,2019-03-04 2019-12-31
3,부산광역시 수영구,35.1398377,129.1114171, 택 견 프로그램,(복)불국토 수영구노인복지관,대한민국 부산광역시 수영구 남천동 552,2019-02-18 2019-12-31
4,부산광역시 수영구,35.1560576,129.1256008, 이 미용봉사자 모집합니다,의)광안의료재단 광안 정다운요양병원,대한민국 부산광역시 수영구 민락동 광안해변로 292,2019-02-26 2019-12-26
5,부산광역시 수영구,,, 장애인주간보호센터 봉사자모집,(사)한국뇌성마비복지회부산울산경남지회,,2019-01-22 2019-12-31
6,부산광역시 수영구,35.1398377,129.1114171, 경로당 손발마사지,(복)불국토 수영구노인복지관,대한민국 부산광역시 수영구 남천동 552,2019-01-04 2019-12-31
7,부산광역시 수영구,35.171306,129.0986396, 흰돌요양센터에서 생활지원봉사자를 모집합니다,흰돌요양센터목제관,대한민국 부산광역시 수영구 망미동 774-311,2019-01-04 2020-01-31
8,부산광역시 수영구,35.1705283,129.0990007, 흰돌실버타운 이미용 봉사자 모집,사회복지법인 로사사회봉사회,대한민국 부산광역시 수영구 망미동 연수로260번길 53,2019-06-01 2019-12-31
