,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,부산광역시 중구,35.1057859,129.0282569, 교육문화사업 읽기쓰기교실 자원봉사자 모집,부산중구종합사회복지관,대한민국 부산광역시 중구 대청동4가 75-7,2019-08-09 2019-12-31
1,부산광역시 중구,35.1041512,129.0261863, 중구노인복지관 스마트폰 활용교육 자원봉사자 모집,중구노인복지관,대한민국 부산광역시 중구 보수동1가 책방골목길 3-1,2019-08-30 2019-10-04
2,부산광역시 중구,35.1057859,129.0282569, 중구종합사회복지관 내 노인주간보호센터에서 자원봉사자를 모집합니다,부산중구종합사회복지관,대한민국 부산광역시 중구 대청동4가 75-7,2019-08-01 2019-12-31
3,부산광역시 중구,35.1063097,129.0295293, 노틀담노인주간보호센터에서 재능기부자님을 모십니다,노틀담노인복지센터(주간보호),대한민국 부산광역시 중구 대청동4가 72-309,2019-08-01 2019-08-31
4,부산광역시 중구,35.1063097,129.0295293, 노틀담노인주간보호센터 자원봉사자 모집,노틀담노인복지센터(주간보호),대한민국 부산광역시 중구 대청동4가 72-309,2019-08-01 2019-08-31
5,부산광역시 중구,35.1041512,129.0261863, 중구노인복지관 따음표 프로그램 자원봉사자 모집,중구노인복지관,대한민국 부산광역시 중구 보수동1가 책방골목길 3-1,2019-06-25 2019-08-27
6,부산광역시 중구,35.1058124,129.0282591, 중구종합사회복지관 부설 장애인주간보호센터 프로그램 보조 모집,중구장애인주간보호센터,대한민국 부산광역시 중구 대청동4가 망양로 309,2019-06-20 2020-06-20
7,부산광역시 중구,35.1057504,129.0226492, [청소년활동프로그램 업무보조] 대학생 자원봉사모집,중구청소년문화의집,대한민국 부산광역시 중구 보수동2가 64-1,2019-06-22 2019-08-31
8,부산광역시 중구,35.1034516,129.0287036, 재가노인 식사배달서비스 보조,봉생중구노인복지센터,대한민국 부산광역시 중구 대청동4가 82-7,2019-05-20 2019-12-31
9,부산광역시 중구,35.1041512,129.0261863, 중구노인복지관 따음표 프로그램 자원봉사자 모집,중구노인복지관,대한민국 부산광역시 중구 보수동1가 책방골목길 3-1,2019-03-26 2019-12-02
10,부산광역시 중구,35.1041512,129.0261863, 노인인식개선 영상채널(유튜브) 기획 및 제작 봉사자 모집,중구노인복지관,대한민국 부산광역시 중구 보수동1가 책방골목길 3-1,2019-03-01 2019-12-31
11,부산광역시 중구,,, 청소년 공연봉사단 제제 기를 모집합니다,부산광역시사회복지협의회,,2019-01-30 2019-12-31
12,부산광역시 중구,,, 청춘 수화공연단에서 열정넘치는 기 단원을 모집합니다,부산광역시사회복지협의회,,2018-12-21 2019-12-21
13,부산광역시 중구,35.1082151,129.038424, 이미용 봉사자 모집합니다,송산노인전문요양원,대한민국 부산광역시 중구 중앙동4가 80-8,2018-08-10 2022-08-09
