,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,서울특별시 동대문구,37.5830683,127.073294, [동문장애인복지관]사회서비스팀 업무보조,동문장애인복지관,대한민국 서울특별시 동대문구 휘경2동 장안벚꽃로7길 5,2019-09-09 2019-09-09
1,서울특별시 동대문구,37.567917,127.0661549, [장안종합사회복지관] (목) 경로식당 봉사자 구인,장안종합사회복지관,대한민국 서울특별시 동대문구 장안동 한천로18길 48,2019-08-29 2019-08-29
2,서울특별시 동대문구,37.5765804,127.0476409, [청량리 무료급식소] 자원봉사자 모집,다일공동체,대한민국 서울특별시 동대문구 전농1동 서울시립대로 57,2019-08-22 2019-08-22
3,서울특별시 동대문구,37.5961951,127.052544, 다문화인식개선캠페인 활동북 만들기 자원봉사 모집,경희대학교 산학협력단,대한민국 서울특별시 동대문구 회기동 경희대로 26,2019-08-20 2019-08-22
4,서울특별시 동대문구,37.567917,127.0661549, [장안종합사회복지관] 사랑나눔 알뜰바자회 행사보조(행사당일),장안종합사회복지관,대한민국 서울특별시 동대문구 장안동 한천로18길 48,2019-09-18 2019-09-18
5,서울특별시 동대문구,37.567917,127.0661549, [장안종합사회복지관] 사랑나눔 알뜰바자회 사전세팅(행사전날),장안종합사회복지관,대한민국 서울특별시 동대문구 장안동 한천로18길 48,2019-09-17 2019-09-17
6,서울특별시 동대문구,37.57093090000001,127.0302499, 사회복지공동모금회 지원 평화누리길 종주투어 봉사자 모집,동대문장애인종합복지관,대한민국 서울특별시 동대문구 청계천로,2019-08-23 2019-10-31
7,서울특별시 동대문구,37.5839428,127.0342231, [동대문종합사회복지관] 미니바자회 보조,동대문종합사회복지관,대한민국 서울특별시 동대문구 제기동 220,2019-08-21 2019-08-23
8,서울특별시 동대문구,37.5770942,127.0387812, 원예치료,에이스협동조합,대한민국 서울특별시 동대문구 용두동 고산자로 420 6층,2019-08-13 2019-08-31
9,서울특별시 동대문구,,, 사무보조,(사단)서울시장애인부모회,,2019-08-12 2019-09-30
