,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,서울특별시 서대문구,37.56806479999999,126.9457741, 위기미혼모자 병원동행,애란원,대한민국 서울특별시 서대문구 대신동 127-20,2019-08-21 2019-10-31
1,서울특별시 서대문구,,, 물품 정리 및 택배작업,한국미혼모가족협회,,2019-08-29 2019-08-29
2,서울특별시 서대문구,,, 아이돌봄 및 프로그램진행 보조자 모집,한국미혼모가족협회,,2019-08-31 2019-08-31
3,서울특별시 서대문구,37.5829209,126.9363898, 서대문구치매안심센터 행사보조 봉사자분들을 모집합니다(),서대문구치매지원센터,대한민국 서울특별시 서대문구 홍은동 425-3,2019-09-02 2019-09-30
4,서울특별시 서대문구,37.5679923,126.959129, 경로식당 봉사자 모집,서대문노인종합복지관,대한민국 서울특별시 서대문구 천연동 117-3,2019-08-28 2019-08-29
5,서울특별시 서대문구,37.5594408,126.9570091, 뇌병변장애인가족과 함께 하는 따로 또 같이 여행 자원봉사자 모집,서대문장애인종합복지관,대한민국 서울특별시 서대문구 북아현동 129-37,2019-09-19 2019-09-20
6,서울특별시 서대문구,,, [상록수] 사무실 업무보조및 교육장 청소,상록수,,2019-08-28 2019-08-28
7,서울특별시 서대문구,,, [태화샘솟는집]운동을 함께 할 자원봉사자를 모집합니다,태화샘솟는집,,2019-09-01 2020-06-30
8,서울특별시 서대문구,37.5679923,126.959129, 우리동네 학습실천 프로젝트 참여자 모집(영상제작 관심있는 누구나),서대문노인종합복지관,대한민국 서울특별시 서대문구 천연동 117-3,2019-09-01 2019-11-30
9,서울특별시 서대문구,37.56806479999999,126.9457741, 사무업무보조,애란원,대한민국 서울특별시 서대문구 대신동 127-20,2019-08-19 2019-08-23
10,서울특별시 서대문구,,, 기아대책 (재) 행복한나눔 연희점 자원봉사자 모집 ,재단법인 행복한나눔,,2019-08-17 2019-09-30
11,서울특별시 서대문구,37.570672,126.9138368, [운전] 아동 외부활동 스타렉스 운전 회성 봉사자 모집,시립서대문농아인복지관,대한민국 서울특별시 서대문구 남가좌동 270-1,2019-08-27 2019-08-27
12,서울특별시 서대문구,37.5594408,126.9570091, 서대문장애인종합복지관 추석 명절행사 자원봉사자 모집,서대문장애인종합복지관,대한민국 서울특별시 서대문구 북아현동 129-37,2019-09-05 2019-09-05
13,서울특별시 서대문구,37.5865567,126.9474914, 교육봉사자 모집,홍제주원지역아동센터,대한민국 서울특별시 서대문구 홍제동 홍제원6길 4 1층,2019-09-01 2019-12-31
14,서울특별시 서대문구,37.5638528,126.9506599, [이대복지관]청소년 나눔 스쿨 참여자 모집 ,이화여자대학교종합사회복지관,대한민국 서울특별시 서대문구 충현동 북아현로19길 58-21,2019-08-24 2019-08-31
