,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,서울특별시 성북구,37.5953654,127.0192147,  (성북시각)지역소비문화시설 체험 프로젝트 봉사자 모집,사회복지법인 성북시각장애인복지관,대한민국 서울특별시 성북구 동선동4가 279-1,2019-08-28 2019-08-28
1,서울특별시 성북구,37.589366,127.016743,  곰두리 역사문화체험 자원봉사자 모집,성북구장애인체육회,대한민국 서울특별시 성북구 삼선동 보문로 168,2019-09-03 2019-09-03
2,서울특별시 성북구,37.5953654,127.0192147, (성북시각) 명절맞이 행사 자원봉사자 모집,사회복지법인 성북시각장애인복지관,대한민국 서울특별시 성북구 동선동4가 279-1,2019-09-07 2019-09-07
3,서울특별시 성북구,37.6088083,127.0247138, [길음종합사회복지관] 월 일(목) 한가위행사 봉사활동,길음종합사회복지관,대한민국 서울특별시 성북구 길음동 905,2019-09-05 2019-09-05
4,서울특별시 성북구,37.59775,127.0344116, <성북노인종합복지관> 한가위 잔치 부대행사 스마트존 자원봉사자 모집,서울시립성북노인종합복지관,대한민국 서울특별시 성북구 종암동 66-14 15,2019-09-10 2019-09-10
5,서울특별시 성북구,,, 심우장 방문객 안내 봉사자 모집,(사)대한불교청년회,,2019-09-01 2019-12-31
6,서울특별시 성북구,37.6081968,127.0046046, [정릉실버복지센터] 프로그램 진행보조 자원봉사자 모집,정릉실버복지센터,대한민국 서울특별시 성북구 정릉동 674-4,2019-08-22 2019-09-26
7,서울특별시 성북구,37.5880116,127.0170606, [한국새생명복지재단] 자원봉사자를 모집합니다,한국새생명복지재단,대한민국 삼선동5가 281번지 1층 부영빌딩 성북구 서울특별시 KR,2019-08-26 2019-08-30
8,서울특별시 성북구,37.5915775,127.0173297, 성인장애인과 소통하며 공부할 선생님을 찾습니다,너른마당 사회적협동조합,대한민국 서울특별시 성북구 동선동 동소문로20다길 10,2019-08-26 2019-12-27
9,서울특별시 성북구,37.5953654,127.0192147, (성북시각) 독서토론 프로그램 자원봉사자 모집,사회복지법인 성북시각장애인복지관,대한민국 서울특별시 성북구 동선동4가 279-1,2019-08-24 2019-08-24
10,서울특별시 성북구,37.5884319,127.0047263, 소아암 어린이 돕기 나눔캠페인 <따뜻해마스크> 사무보조 봉사자 모집,(재) 한국백혈병어린이재단,대한민국 서울특별시 성북구 성북동 성북로5길 9-14,2019-09-09 2020-02-28
11,서울특별시 성북구,37.5884319,127.0047263, 소아암 어린이 돕기 나눔캠페인 키트제작 봉사자 모집,(재) 한국백혈병어린이재단,대한민국 서울특별시 성북구 성북동 성북로5길 9-14,2019-08-30 2019-08-30
12,서울특별시 성북구,37.6041995,127.036822, [생명의전화종합사회복지관] 생명가족작은도서관 토요 정기 봉사자 모집,생명의전화 종합사회복지관,대한민국 서울특별시 성북구 하월곡동 오패산로 21,2019-08-16 2019-12-31
13,서울특별시 성북구,37.6089065,127.0374828, [월곡종합사회복지관] 경로식당 배식봉사 모집,월곡종합사회복지관,대한민국 서울특별시 성북구 하월곡동 222-5,2019-08-19 2019-09-06
14,서울특별시 성북구,37.6045365,127.0220382, 장애아동 돌봄 봉사자 모집,준재활의학과의원,대한민국 서울특별시 성북구 길음동 548-1,2019-08-31 2019-09-07
0,서울특별시 성북구,37.6089065,127.0374828, [월곡종합사회복지관] 지역주민만남 행사 자원봉사자 모집,월곡종합사회복지관,대한민국 서울특별시 성북구 하월곡동 222-5,2019-08-12 2019-09-06
1,서울특별시 성북구,37.6088083,127.0247138, [길음종합사회복지관] 년 월 일(토) 아나바다그린장터 봉사자 모집,길음종합사회복지관,대한민국 서울특별시 성북구 길음동 905,2019-09-21 2019-09-21
2,서울특별시 성북구,,, [급구] 어린이도서관 사서 자원봉사자 모집,삼양동종합복지센터,,2019-08-09 2019-12-31
3,서울특별시 성북구,37.6089065,127.0374828, [월곡종합사회복지관]정서지원프로그램 운영 봉사단 모집,월곡종합사회복지관,대한민국 서울특별시 성북구 하월곡동 222-5,2019-09-01 2019-12-31
4,서울특별시 성북구,37.5880116,127.0170606, 인터넷 자료 검색 봉사자 모집,한국새생명복지재단,대한민국 삼선동5가 281번지 1층 부영빌딩 성북구 서울특별시 KR,2019-08-12 2019-09-30
5,서울특별시 성북구,37.6045542,127.0457388, [성북장애인복지관] 장애인배드민턴대회 자원봉사자 모집 ,성북장애인복지관,대한민국 서울특별시 성북구 하월곡동 화랑로 130,2019-08-07 2019-10-06
6,서울특별시 성북구,37.5880116,127.0170606, <새생명열린음악회> 자원봉사자 모집합니다 ,한국새생명복지재단,대한민국 삼선동5가 281번지 1층 부영빌딩 성북구 서울특별시 KR,2019-08-29 2019-08-29
7,서울특별시 성북구,,, 어르신 대상 종이접기 프로그램 봉사자 모집,장위실버복지센터,,2019-08-20 2019-12-17
8,서울특별시 성북구,37.60492869999999,127.0462818, 행복플러스발달장애인센터 프로그램 보조 봉사자 모집,행복플러스 보호작업장,대한민국 서울특별시 성북구 하월곡동 화랑로 134,2019-08-22 2019-08-30
9,서울특별시 성북구,,, 기아대책 (재) 행복한나눔 길음점 자원봉사자 모집,재단법인 행복한나눔,,2019-08-01 2019-09-30
10,서울특별시 성북구,37.60492869999999,127.0462818, 행복플러스보호작업장 프로그램 및 직무수행 보조지원 자원봉사자 모집,행복플러스 보호작업장,대한민국 서울특별시 성북구 하월곡동 화랑로 134,2019-07-25 2019-12-31
11,서울특별시 성북구,37.6066873,127.0582634, 센터 공연팀 간단한 홍보영상제작 가능하신 자원봉사 모집합니다,성북구립석관실버복지센터,대한민국 서울특별시 성북구 석관동 261-394,2019-07-22 2019-11-20
12,서울특별시 성북구,37.6088083,127.0247138, [길음종합사회복지관] 아동피아노교실 자원봉사자 모집,길음종합사회복지관,대한민국 서울특별시 성북구 길음동 905,2019-07-15 2019-12-31
13,서울특별시 성북구,37.59775,127.0344116, <성북노인종합복지관> 행정보조 자원봉사자를 모집합니다,서울시립성북노인종합복지관,대한민국 서울특별시 성북구 종암동 66-14 15,2019-07-01 2019-08-31
14,서울특별시 성북구,37.5976226,127.0051842, 손발마사지 웃음치료 레크레이션 등 재능봉사자 모집,(의) 참예원의료재단 성북참노인전문병원,대한민국 서울특별시 성북구 정릉2동 북악산로1길 71,2019-07-01 2019-12-31
0,서울특별시 성북구,37.6058527,127.0025275, 재능기부) 어르신 프로그램 진행해주실 봉사자님 구합니다 ,정릉노인요양원,대한민국 서울특별시 성북구 정릉3동 정릉로12길 69 1층,2019-06-22 2019-12-31
1,서울특별시 성북구,37.5901209,127.00768, [굿네이버스 서울북부지부] 아동권리 모니터링단   추가모집,서울성북아동보호전문기관(서울북부지부),대한민국 서울특별시 성북구 동소문동1가 51,2019-06-01 2019-12-31
2,서울특별시 성북구,37.6041995,127.036822, [생명의전화종합사회복지관] 도시락 및 밑반찬 배달 자원봉사자 모집,생명의전화 종합사회복지관,대한민국 서울특별시 성북구 하월곡동 오패산로 21,2019-06-13 2019-12-31
3,서울특별시 성북구,37.5900606,127.0298249, [승가원장애아동시설] 장애아동 일상생활을 지원해주실 자원봉사자분들을 모집합니다,승가원장애아동시설,대한민국 서울특별시 성북구 안암동5가 10-1,2019-06-10 2019-12-31
4,서울특별시 성북구,37.6089065,127.0374828, [월곡종합사회복지관] 스마트폰교육 보조 자원봉사자 모집,월곡종합사회복지관,대한민국 서울특별시 성북구 하월곡동 222-5,2019-08-22 2019-12-26
5,서울특별시 성북구,37.6041995,127.036822, [생명의전화종합사회복지관] 마을어르신밥상(경로식당) 자원봉사자 모집,생명의전화 종합사회복지관,대한민국 서울특별시 성북구 하월곡동 오패산로 21,2019-06-05 2019-12-31
6,서울특별시 성북구,37.6066873,127.0582634, [성북구립석관실버복지센터] 통기타 동아리 재능기부 강사 자원봉사자 모집합니다 ,성북구립석관실버복지센터,대한민국 서울특별시 성북구 석관동 261-394,2019-05-28 2019-12-31
7,서울특별시 성북구,37.6045542,127.0457388, [급구] 성북장애인복지관 수중운동 자원봉사자모집,성북장애인복지관,대한민국 서울특별시 성북구 하월곡동 화랑로 130,2019-05-27 2019-12-31
8,서울특별시 성북구,37.6089065,127.0374828, [월곡종합사회복지관]  밑반찬 자원봉사자 모집,월곡종합사회복지관,대한민국 서울특별시 성북구 하월곡동 222-5,2019-08-22 2019-12-31
9,서울특별시 성북구,37.6058527,127.0025275, 미용봉사)  미용봉사자 모집합니다 ,정릉노인요양원,대한민국 서울특별시 성북구 정릉3동 정릉로12길 69 1층,2019-04-22 2019-12-31
10,서울특별시 성북구,,, [기아대책] 행복한나눔 길음점 자원봉사 모집,재단법인 행복한나눔,,2019-04-17 2019-08-31
11,서울특별시 성북구,37.6111613,127.0012095, [정릉종합사회복지관]반짝반짝빛나는쉼표구간 봉사자 모집,정릉종합사회복지관,대한민국 서울특별시 성북구 정릉3동 솔샘로5길 92,2019-04-06 2019-12-28
12,서울특별시 성북구,37.6103077,127.0024381, <영락모자원> 주일 예배 반주 봉사자 모집,영락모자원,대한민국 서울특별시 성북구 정릉3동 721-1,2019-04-07 2019-12-29
13,서울특별시 성북구,37.5900606,127.0298249, [승가원장애아동시설]지적장애아동 신체활동프로그램 지원 자원봉사자 모집,승가원장애아동시설,대한민국 서울특별시 성북구 안암동5가 10-1,2019-09-08 2019-12-29
14,서울특별시 성북구,37.6045542,127.0457388, 성북장애인복지관 성인장애인 요리활동 보조 자원봉사자 모집,성북장애인복지관,대한민국 서울특별시 성북구 하월곡동 화랑로 130,2019-04-03 2019-10-16
