,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,서울특별시 용산구,37.5457257,126.9724584, 노숙인 다시서기종합지원센터 명절 무료급식 봉사자 모집( 저녁식사),서울특별시립 다시서기 종합지원센터,대한민국 서울특별시 용산구 남영동 한강대로92길 6,2019-09-15 2019-09-15
1,서울특별시 용산구,37.5457257,126.9724584, 노숙인 다시서기종합지원센터 명절 무료급식 봉사자 모집( 점심식사),서울특별시립 다시서기 종합지원센터,대한민국 서울특별시 용산구 남영동 한강대로92길 6,2019-09-15 2019-09-15
2,서울특별시 용산구,37.5457257,126.9724584, 노숙인 다시서기종합지원센터 명절 무료급식 봉사자 모집( 저녁식사),서울특별시립 다시서기 종합지원센터,대한민국 서울특별시 용산구 남영동 한강대로92길 6,2019-09-14 2019-09-14
3,서울특별시 용산구,37.5457257,126.9724584, 노숙인 다시서기종합지원센터 명절 무료급식 봉사자 모집( 점심식사),서울특별시립 다시서기 종합지원센터,대한민국 서울특별시 용산구 남영동 한강대로92길 6,2019-09-14 2019-09-14
4,서울특별시 용산구,37.5457257,126.9724584, 노숙인 다시서기종합지원센터 명절 무료급식 봉사자 모집( 저녁식사),서울특별시립 다시서기 종합지원센터,대한민국 서울특별시 용산구 남영동 한강대로92길 6,2019-09-13 2019-09-13
5,서울특별시 용산구,37.5457257,126.9724584, 노숙인 다시서기종합지원센터 명절 무료급식 봉사자 모집( 점심식사),서울특별시립 다시서기 종합지원센터,대한민국 서울특별시 용산구 남영동 한강대로92길 6,2019-09-13 2019-09-13
6,서울특별시 용산구,37.5457257,126.9724584, 노숙인 다시서기종합지원센터 명절 무료급식 봉사자 모집( 저녁식사),서울특별시립 다시서기 종합지원센터,대한민국 서울특별시 용산구 남영동 한강대로92길 6,2019-09-12 2019-09-12
7,서울특별시 용산구,37.5457257,126.9724584, 노숙인 다시서기종합지원센터 명절 무료급식 봉사자 모집( 점심식사) ,서울특별시립 다시서기 종합지원센터,대한민국 서울특별시 용산구 남영동 한강대로92길 6,2019-09-12 2019-09-12
8,서울특별시 용산구,37.5347934,127.0000555, [ 서울가족축제 자원봉사 구인,용산구다문화가족지원센터,대한민국 서울특별시 용산구 한남동 685-46,2019-09-07 2019-09-07
9,서울특별시 용산구,37.5347934,127.0000555, 년 사회복지자원봉사 박람회 자원봉사 구인,용산구다문화가족지원센터,대한민국 서울특별시 용산구 한남동 685-46,2019-09-06 2019-09-06
10,서울특별시 용산구,,, 노숙인 텐트촌 주거환경개선 사업 자원봉사자 모집,사단법인 함께하는사랑밭,,2019-09-07 2019-09-07
11,서울특별시 용산구,37.5377005,126.9652949, 센터내 어르신분들 프로그램진행 ,닥터참사랑데이케어센터,대한민국 서울특별시 용산구 원효로2가 1 3층,2019-08-16 2019-12-31
12,서울특별시 용산구,37.5457257,126.9724584, 년 노숙인 추석명절 나눔행사 진행도우미 모집(서울시립 다시서기종합지원센터),서울특별시립 다시서기 종합지원센터,대한민국 서울특별시 용산구 남영동 한강대로92길 6,2019-09-13 2019-09-13
13,서울특별시 용산구,37.5312854,127.0064665, [시립용산노인종합복지관] 경로당 원예교실 보조 봉사자 모집,시립용산노인종합복지관,대한민국 서울특별시 용산구 한남동 108,2019-07-30 2019-09-30
14,서울특별시 용산구,37.53763989999999,126.9594352, []  단체 사무보조 정보 입력 작업 정기 봉사자 모집,아프리카아시아 난민교육후원회,대한민국 서울특별시 용산구 용문동,2019-07-29 2019-08-30
0,서울특별시 용산구,,,  청소년 대학생 교육자원봉사자 모집(엔젤튜터),주식회사 드림메이커인터내셔널,,2019-07-22 2019-10-22
1,서울특별시 용산구,37.5287946,126.9987484, 초등학교 고학년 학습지도,풍성한지역아동센터,대한민국 보광동 254번지 4층 용산구 서울특별시 KR,2019-08-05 2019-12-31
2,서울특별시 용산구,37.5473033,126.9615477, [구립용산장애인복지관] 방과후교실(초등반),용산장애인복지관,대한민국 서울특별시 용산구 효창동 효창원로93길 49,2019-07-09 2019-12-17
3,서울특별시 용산구,37.552994,126.9646964, 경로식당 자원봉사자 모집,청파노인복지센터,대한민국 서울특별시 용산구 서계동 243-44,2019-06-05 2019-12-31
4,서울특별시 용산구,37.5407036,126.9673479, 장애인예체능 학교 수업을 도와주실분을 찾습니다,용산행복장애인자립생활센터,대한민국 서울특별시 용산구 원효로1가 원효로89길 31 1층,2019-05-03 2019-11-08
5,서울특별시 용산구,37.5457462,126.9749004, 복지관 사회교육 프로그램실 관리(정리정돈),갈월종합사회복지관,대한민국 서울특별시 용산구 남영동 두텁바위로 25,2019-03-01 2019-12-31
6,서울특별시 용산구,37.5457462,126.9749004, 어르신한글교실강사모집,갈월종합사회복지관,대한민국 서울특별시 용산구 남영동 두텁바위로 25,2019-03-05 2019-12-31
7,서울특별시 용산구,37.5264569,126.9639172, 미술관련 재능기부(종이접기비즈공예냅킵아트그리기 등),서울시 농아노인 지원센터,대한민국 서울특별시 용산구 한강로3가 한강대로21길 17-7 2층,2019-03-01 2019-12-31
8,서울특별시 용산구,37.5473033,126.9615477, 용산장복] 식당봉사자 모집,용산장애인복지관,대한민국 서울특별시 용산구 효창동 효창원로93길 49,2019-01-22 2019-12-31
9,서울특별시 용산구,37.5457462,126.9749004, 일본어교실 강사 자원봉사자모집,갈월종합사회복지관,대한민국 서울특별시 용산구 남영동 두텁바위로 25,2019-03-04 2019-12-30
10,서울특별시 용산구,,, 컴퓨터 문서작성 입니다,다정노인복지센터,,2019-08-05 2019-08-31
11,서울특별시 용산구,37.54962039999999,126.9678824, 아동학습지도,한살림서울생활협동조합용산지역아동센터,대한민국 서울특별시 용산구 청파동 청파로71길 40 2층,2018-12-10 2019-12-31
12,서울특별시 용산구,37.5450482,126.9603142, 다도교실 프로그램 활동,구립용산노인전문요양원,대한민국 서울특별시 용산구 효창동 효창원로 177-18 효창공원,2019-01-01 2019-12-31
