,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,인천광역시 부평구,37.4904504,126.7265646, [지역 내 주민 설문조사] 안내 자원봉사자 모집,부평중부종합사회복지관,대한민국 인천광역시 부평구 부평1동 182-23,2019-09-02 2019-09-30
1,인천광역시 부평구,37.4904504,126.7265646, 아동 돌봄교실 자원봉사자 모집,부평중부종합사회복지관,대한민국 인천광역시 부평구 부평1동 182-23,2019-09-17 2019-10-29
2,인천광역시 부평구,37.507117,126.735377, [글로리병원] 재활의학과 추석행사 봉사자모집,글로리병원,대한민국 인천광역시 부평구 삼산동 461-3,2019-09-09 2019-09-09
3,인천광역시 부평구,,, 굴포천살리기 활동  흙공 만들기 자원봉사자 모집,지구시민운동연합,,2019-08-24 2019-08-24
4,인천광역시 부평구,37.4827564,126.7461811, 추석명절행사 자원봉사자 모집,부평장애인종합복지관,대한민국 인천광역시 부평구 일신동 62,2019-09-05 2019-09-05
5,인천광역시 부평구,37.478523,126.6915235, [주안복지재단] 밑반찬 배달 자원봉사자 모집,사회복지법인 주안복지재단,대한민국 인천광역시 십정동 열우물경기장,2019-08-27 2019-12-31
6,인천광역시 부평구,37.5085538,126.7308334, 착한가게 기빙플러스 인천부평점 매장운영 보조,사회복지법인 밀알복지재단 인천지부,대한민국 인천광역시 부평구 갈산동 402,2019-09-01 2019-09-30
7,인천광역시 부평구,37.507117,126.735377, [글로리병원] 순회문고 자원봉사자 모집 ,글로리병원,대한민국 인천광역시 부평구 삼산동 461-3,2019-08-21 2019-12-31
8,인천광역시 부평구,37.513322,126.7273966, 월 물놀이 및 버스킹 자원봉사자 모집,갈산종합사회복지관,대한민국 인천광역시 부평구 갈산2동 360,2019-08-23 2019-08-23
9,인천광역시 부평구,,, 제회 청소년문화예술경연대회 운영스태프 모집,인천광역시청소년문화센터,,2019-08-31 2019-08-31
10,인천광역시 부평구,37.5110301,126.7335502, 경로식당 자원봉사자모집,부평구노인복지관,대한민국 인천광역시 부평구 삼산동 굴포로 114,2019-08-05 2019-12-31
11,인천광역시 부평구,37.5177746,126.7398998, 청년말벗봉사자,삼산재가노인지원서비스센터,대한민국 인천광역시 부평구 삼산동 평천로 447 1층,2019-08-12 2019-12-31
12,인천광역시 부평구,37.4899004,126.7036651, 프로그램 재능기부 봉사자 모집,협성양로원,대한민국 인천광역시 부평구 산곡동 370-86,2019-03-01 2019-12-31
13,인천광역시 부평구,37.5085538,126.7308334, 기빙플러스 부평점 매장운영 보조,사회복지법인 밀알복지재단 인천지부,대한민국 인천광역시 부평구 갈산동 402,2019-08-01 2019-08-30
14,인천광역시 부평구,37.4827564,126.7461811, 장애인 일손돕기 봉사(송암보호작업장),송암보호작업장,대한민국 인천광역시 부평구 일신동 일신로 25 4층,2019-08-01 2019-08-31
0,인천광역시 부평구,37.5180362,126.7255511, 프로그램지원봉사활동,사)장애인부모회 아카펠라 주간보호센터,대한민국 인천광역시 부평구 갈산동 169-6,2019-08-05 2019-12-31
1,인천광역시 부평구,37.4994419,126.7158875, 초등돌봄교실 부평꿈자람터 예체능활동 등 재능기부 자원봉사자 모집 ,인천시부평구건강가정지원센터,대한민국 인천광역시 부평구 산곡동 294-134,2019-07-04 2019-12-31
