,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,인천광역시 서구,37.5440031,126.6826688, 공부방 초등 학습지도 보조 ,인천기독교종합사회복지관,대한민국 인천광역시 서구 심곡동 14-5,2019-08-08 2019-12-31
1,인천광역시 서구,37.5440031,126.6826688, 밑반찬 배달활동가 모집,인천기독교종합사회복지관,대한민국 인천광역시 서구 심곡동 14-5,2019-08-08 2019-12-31
2,인천광역시 서구,37.6032747,126.660444, 목욕 봉사자 모집,민들레요양원,대한민국 인천광역시 서구 마전동,2019-08-07 2020-08-06
3,인천광역시 서구,37.6032747,126.660444, 미용봉사자 모집,민들레요양원,대한민국 인천광역시 서구 마전동,2019-08-06 2020-08-05
4,인천광역시 서구,37.4890123,126.6797793, 안내봉사자 모집합니다,나은병원,대한민국 인천광역시 서구 가좌3동 원적로 23,2019-07-03 2019-12-31
5,인천광역시 서구,37.5440031,126.6826688, 연극단 서포터즈 대학생을 모집합니다 ,인천기독교종합사회복지관,대한민국 인천광역시 서구 심곡동 14-5,2019-06-27 2019-12-31
6,인천광역시 서구,37.5440031,126.6826688, 밑반찬 배달봉사자 모집 ,인천기독교종합사회복지관,대한민국 인천광역시 서구 심곡동 14-5,2019-06-27 2019-12-31
7,인천광역시 서구,37.5441113,126.6736572, 함께해요(여가활동 프로그램),새하늘전문요양원,대한민국 인천광역시 서구 심곡동 탁옥로 37,2019-06-20 2020-12-31
8,인천광역시 서구,,, 밑반찬배달(서구지역),인천시시각장애인복지관,,2019-07-16 2019-12-24
9,인천광역시 서구,37.5440031,126.6826688, 행복전파단(연극단) 자원봉사자를 모집합니다,인천기독교종합사회복지관,대한민국 인천광역시 서구 심곡동 14-5,2019-04-01 2019-12-31
10,인천광역시 서구,37.5440031,126.6826688, 행복바이러스 제작 및 배달활동가를 모집합니다,인천기독교종합사회복지관,대한민국 인천광역시 서구 심곡동 14-5,2019-04-11 2019-12-31
11,인천광역시 서구,37.4957635,126.674851, 학습멘토링,늘푸른지역아동센터,대한민국 인천광역시 서구 가좌1동 가정로126번길 29 3층,2019-05-01 2019-12-31
12,인천광역시 서구,37.5440031,126.6826688, 행복바이러스 밑반찬 제작활동가 모집,인천기독교종합사회복지관,대한민국 인천광역시 서구 심곡동 14-5,2019-03-05 2019-12-31
13,인천광역시 서구,37.5107467,126.6758292, [인천서구노인복지관] 점심 도시락 배달봉사자 모집,서구노인복지관,대한민국 인천광역시 서구 석남동 신석로121번길 10,2019-02-08 2019-12-31
14,인천광역시 서구,37.5830357,126.670992, 만수무강 장수사진 봉사 모집합니다,인천천사요양원,대한민국 인천광역시 서구 검암경서동 드림로 284-6,2019-01-31 2019-12-31
0,인천광역시 서구,37.5461,126.6843152, 은혜병원 자원봉사자 모집,서천재단,대한민국 인천광역시 서구 심곡동 288,2019-01-31 2019-12-31
1,인천광역시 서구,37.5461,126.6843152, 인천은혜병원 자원봉사자 모집,서천재단,대한민국 인천광역시 서구 심곡동 288,2019-01-31 2019-12-31
2,인천광역시 서구,37.5163868,126.6760485, 인천참사랑병원 낮병원 우리동네 미술치료 음악치료 웃음치료 자원봉사자(강사) 모집,인천참사랑병원,대한민국 인천광역시 서구 가정동 511-6,2019-01-02 2019-12-31
3,인천광역시 서구,,, 노인주간보호센터 미술수업하실 분 구합니다,사단법인 인천시민자원봉사회,,2018-12-18 2019-12-31
4,인천광역시 서구,37.5163868,126.6760485, 인천참사랑병원 여성정신재활병동 종이공예(접기) 자원봉사자를 모집합니다 ,인천참사랑병원,대한민국 인천광역시 서구 가정동 511-6,2018-11-07 2019-11-30
5,인천광역시 서구,37.543754,126.674333, 성모요양원 미용봉사자 모집,성모요양원,대한민국 인천광역시 서구 심곡동 249-1,2018-10-23 2019-10-31
6,인천광역시 서구,37.5441113,126.6736572, 여가활동 봉사자(치매예방 여가 레크레이션 등) 모집합니다,새하늘전문요양원,대한민국 인천광역시 서구 심곡동 탁옥로 37,2019-04-01 2020-12-31
7,인천광역시 서구,37.5830838,126.6706349, 이미용봉사자 모집합니다,인천신생요양원,대한민국 인천광역시 서구 백석동 86-11,2018-09-02 2019-09-30
8,인천광역시 서구,37.5830838,126.6706349, 전문강사(웃음치료강사풍물강사)모집합니다,인천신생요양원,대한민국 인천광역시 서구 백석동 86-11,2018-09-02 2019-09-30
9,인천광역시 서구,37.5440031,126.6826688, 밑반찬 배달활동가(자원봉사자)를 모집합니다,인천기독교종합사회복지관,대한민국 인천광역시 서구 심곡동 14-5,2018-07-06 2019-12-31
10,인천광역시 서구,37.5163868,126.6760485, 인천참사랑병원 낮병원 우리동네 내부 외부프로그램 보조 자원봉사자 모집,인천참사랑병원,대한민국 인천광역시 서구 가정동 511-6,2018-05-08 2019-12-31
