,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,인천광역시 연수구,37.4129927,126.6766977, 뮤지컬 공연관람 진행 봉사자 모집,연수구다문화가족지원센터,대한민국 인천광역시 연수구 연수동 599-5,2019-09-07 2019-09-07
1,인천광역시 연수구,37.4129927,126.6766977, 자녀경제교육 참여자 자녀 돌봄 봉사자 모집,연수구다문화가족지원센터,대한민국 인천광역시 연수구 연수동 599-5,2019-09-04 2019-09-04
2,인천광역시 연수구,37.4121362,126.6590046, 장애 아동과 함께하는 야외체험활동 보조,인천장애인종합복지관,대한민국 인천광역시 연수구 동춘1동 29-1,2019-08-24 2019-08-24
3,인천광역시 연수구,37.4211514,126.6919335, 어울더울 한마음 한마음 축제 자원봉사자 모집,세화종합사회복지관,대한민국 인천광역시 연수구 연수3동 533,2019-09-21 2019-09-21
4,인천광역시 연수구,37.4146593,126.6871966, 연수종합사회복지관 화합한마당 축제 보조 봉사자 모집,연수종합사회복지관,대한민국 인천광역시 연수구 연수2동 582-2,2019-09-21 2019-09-21
5,인천광역시 연수구,37.4211514,126.6919335, 세화종합사회복지관 체험부스운영 자원봉사자 모집,세화종합사회복지관,대한민국 인천광역시 연수구 연수3동 533,2019-09-07 2019-09-07
6,인천광역시 연수구,37.4211514,126.6919335, 세화종합사회복지관 추석명절행사 자원봉사자 모집,세화종합사회복지관,대한민국 인천광역시 연수구 연수3동 533,2019-09-10 2019-09-10
7,인천광역시 연수구,37.4211514,126.6919335, 세대통합프로그램 봉사자 모집,세화종합사회복지관,대한민국 인천광역시 연수구 연수3동 533,2019-09-04 2019-11-27
8,인천광역시 연수구,37.4211514,126.6919335, 기부식품 연합홍보행사 사랑나눔축제 자원봉사자 모집,세화종합사회복지관,대한민국 인천광역시 연수구 연수3동 533,2019-08-31 2019-08-31
9,인천광역시 연수구,37.4146593,126.6871966, 연수종합사회복지관 멘토링 자원봉사자 추가 모집 ,연수종합사회복지관,대한민국 인천광역시 연수구 연수2동 582-2,2019-07-26 2019-12-31
10,인천광역시 연수구,,, 인천지역 복지사각지대  초기양육미혼모사업,사단법인 여성인권동감,,2019-08-01 2020-04-30
11,인천광역시 연수구,37.4270354,126.697992, 남자어르신 목욕봉사,효나눔노인복지센터,대한민국 인천광역시 연수구 선학동 학나래로118번길 30 3층,2019-07-12 2020-07-31
12,인천광역시 연수구,37.4270354,126.697992, 미용봉사,효나눔노인복지센터,대한민국 인천광역시 연수구 선학동 학나래로118번길 30 3층,2019-07-12 2020-07-31
13,인천광역시 연수구,37.4270354,126.697992, 치매예방프르그램강사,효나눔노인복지센터,대한민국 인천광역시 연수구 선학동 학나래로118번길 30 3층,2019-07-02 2019-12-31
14,인천광역시 연수구,37.4270354,126.697992, 악기연주및 노래,효나눔노인복지센터,대한민국 인천광역시 연수구 선학동 학나래로118번길 30 3층,2019-07-02 2019-12-31
0,인천광역시 연수구,37.4078996,126.6704962, [나사렛국제병원]진료과 위치안내 및 동행서비스 정기봉사사 모집,나사렛의료재단,대한민국 인천광역시 연수구 동춘2동 먼우금로 98,2019-06-29 2020-12-31
1,인천광역시 연수구,,, 미취학 아동 보육,푸르뫼   ,,2019-07-01 2019-12-30
2,인천광역시 연수구,,, [송도노인복지관]네일아트 봉사,송도노인복지관,,2019-06-18 2019-09-30
3,인천광역시 연수구,37.405125,126.669754, 기초학습 지도해주실분,해피드림,대한민국 인천광역시 동춘2동 대동아파트,2019-06-17 2019-12-31
4,인천광역시 연수구,37.4078996,126.6704962, [나사렛국제병원] 브랜드관리(홍보)팀 자원봉사자 모집 ,나사렛의료재단,대한민국 인천광역시 연수구 동춘2동 먼우금로 98,2019-05-25 2019-09-30
5,인천광역시 연수구,37.4078996,126.6704962, [나사렛국제병원] 보험심사팀 자원봉사자 모집,나사렛의료재단,대한민국 인천광역시 연수구 동춘2동 먼우금로 98,2019-05-25 2019-09-30
6,인천광역시 연수구,37.4165617,126.6723844, 시설  봉사자 모집,송도요양원,대한민국 인천광역시 연수구 동춘동 청능대로 54,2019-06-01 2019-12-31
7,인천광역시 연수구,37.4165617,126.6723844, 이미용 봉사,송도요양원,대한민국 인천광역시 연수구 동춘동 청능대로 54,2019-05-22 2019-12-31
8,인천광역시 연수구,37.4180131,126.6872129, [인천적십자병원] 이미용 자원봉사자 모집,인천적십자병원,대한민국 인천광역시 연수구 연수3동 580-3,2019-06-03 2019-12-31
9,인천광역시 연수구,37.4157978,126.6743367, 이미용 봉사자 모집,간호나라요양원,대한민국 인천광역시 연수구 청학동 502-1,2019-05-01 2019-12-31
10,인천광역시 연수구,37.41507240000001,126.677781, 시설 봉사하실 분 모집합니다,축복전문요양원,대한민국 인천광역시 연수구 연수2동 용담로 115 5층,2019-08-14 2019-12-31
11,인천광역시 연수구,37.41875580000001,126.6963561, [선학종합사회복지관] 토요밑반찬 봉사자 모집,선학종합사회복지관,대한민국 인천광역시 연수구 선학동 347,2019-02-28 2019-12-31
12,인천광역시 연수구,37.4211514,126.6919335, 장애가족지원사업 프리맘 코워커 모집,세화종합사회복지관,대한민국 인천광역시 연수구 연수3동 533,2019-03-02 2019-12-31
13,인천광역시 연수구,37.4211514,126.6919335, 세화복지관 청소년 진로프로그램 드림스케치 자원봉사자 모집,세화종합사회복지관,대한민국 인천광역시 연수구 연수3동 533,2019-04-01 2019-11-30
14,인천광역시 연수구,37.4211514,126.6919335, 세화종합사회복지관 대학생 학습멘토링 예그리나 대학생 멘토모집 ,세화종합사회복지관,대한민국 인천광역시 연수구 연수3동 533,2019-03-12 2019-12-31
0,인천광역시 연수구,37.414416,126.65974, 미술치료,무료양로시설 인천영락원,대한민국 인천광역시 연수구 동춘1동 796-1,2019-02-08 2020-12-31
1,인천광역시 연수구,37.414416,126.65974, 미술치료(한지공예),무료양로시설 인천영락원,대한민국 인천광역시 연수구 동춘1동 796-1,2019-01-29 2020-12-31
2,인천광역시 연수구,37.414416,126.65974, 정기봉사,무료양로시설 인천영락원,대한민국 인천광역시 연수구 동춘1동 796-1,2019-01-29 2020-12-31
