,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,충청남도 천안시,36.81701169999999,127.1340808,  천안비영리컨퍼런스 진행보조 자원봉사자 모집,(재)풀뿌리희망재단,대한민국 충청남도 천안시 서북구 성정1동 개목5길 30 2층,2019-09-17 2019-09-17
1,충청남도 천안시,36.8721947,127.2094504, 년 하반기 주말(토) 봉사자 모집,천안사랑지역아동센터,대한민국 충청남도 천안시 서북구 성거읍 천흥4길 72-3,2019-09-07 2019-11-30
2,충청남도 천안시,36.8267582,127.1389761, 두리사랑주간보호센터 월(학기중)봉사자 모집,두리사랑주간보호센터,대한민국 충청남도 천안시 서북구 성정2동 1504,2019-08-22 2019-08-30
3,충청남도 천안시,36.8225551,127.1408156, 천안시농아인지회 은빛쉼터 어르신 건강검진 보조 봉사자 모집,천안시수어통역센터,"대한민국 충청남도 천안시 서북구 봉정로 113 용현빌딩,성정동) 3층",2019-09-10 2019-11-26
4,충청남도 천안시,36.8268547,127.1378742, 소중한 나 만들기 부모자녀 집단 프로그램 자원봉사자 모집,천안시건강가정지원센터,대한민국 충청남도 천안시 서북구 성정2동 동서대로 129-12 11층,2019-09-03 2019-09-24
5,충청남도 천안시,36.781255,127.1642588, 경로식당 도우미 봉사자 모집(천안시종합사회복지관),천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-08-20 2019-12-31
6,충청남도 천안시,36.781255,127.1642588, 장애아동 미술치료 프로그램 보조(천안시종합사회복지관),천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-09-04 2019-11-27
7,충청남도 천안시,36.8267582,127.1389761, 두리사랑주간보호센터 월(학기중) 봉사자 모집,두리사랑주간보호센터,대한민국 충청남도 천안시 서북구 성정2동 1504,2019-09-02 2019-09-30
8,충청남도 천안시,36.781255,127.1642588, 방과 후 돌봄교실 봉사자 모집(천안시종합사회복지관),천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-09-02 2019-12-27
9,충청남도 천안시,36.781255,127.1642588, 아이와 함께하는 체육교실 차 프로그램 보조(천안시종합사회복지관),천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-09-19 2019-10-31
10,충청남도 천안시,36.781255,127.1642588, 아이와 함께하는 요리교실 프로그램 보조(천안시종합사회복지관),천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-09-03 2019-11-19
11,충청남도 천안시,36.781255,127.1642588, 어머니교실 실전편 차(천안시종합사회복지관),천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-09-09 2019-09-30
12,충청남도 천안시,36.781255,127.1642588, 어머니교실 이론편 차(천안시종합사회복지관),천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-09-06 2019-10-04
13,충청남도 천안시,36.781255,127.1642588, 죽음준비학교 아름다운 마무리 제의 인생체험학습(천안시종합사회복지관),천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-09-05 2019-09-05
14,충청남도 천안시,36.8366542,127.1310028, [천안] 기초한글 학습지도 봉사자 모집(교통비지급),사단법인 한빛회,대한민국 충청남도 천안시 서북구 두정동,2019-08-27 2019-12-31
0,충청남도 천안시,36.781255,127.1642588, 천연용품 만드는 슈퍼우먼 차(천안시종합사회복지관),천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-08-13 2019-09-03
1,충청남도 천안시,,, 추석맞이 소외계층 지원사업 자원봉사자 모집,천안성정종합사회복지관,,2019-09-11 2019-09-11
2,충청남도 천안시,36.7776883,127.1794187, 하이렉스파 목욕 봉사활동,충청남도시각장애인복지관,대한민국 충청남도 천안시 동남구 삼룡동 충절로 535-13,2019-08-20 2019-12-31
3,충청남도 천안시,,, 쉘위  줌바댄스 교실 보조봉사자 모집,천안성정종합사회복지관,,2019-08-19 2019-12-31
4,충청남도 천안시,36.7754092,127.1800625, 천안의료원 진료지원 자원봉사자 모집 ,충청남도 천안의료원,대한민국 충청남도 천안시 동남구 삼룡동 41-13,2019-08-28 2019-08-29
5,충청남도 천안시,36.7776883,127.1794187, 빛드림오카리나 동아리 봉사활동,충청남도시각장애인복지관,대한민국 충청남도 천안시 동남구 삼룡동 충절로 535-13,2019-08-06 2019-12-31
6,충청남도 천안시,36.8721947,127.2094504, 공공형 어린이집 봉사자 모집,천안사랑지역아동센터,대한민국 충청남도 천안시 서북구 성거읍 천흥4길 72-3,2019-08-06 2019-12-31
7,충청남도 천안시,36.781255,127.1642588, 천안시종합사회복지관 평생교육프로그램 만족도 조사자 모집,천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-08-12 2019-08-23
8,충청남도 천안시,36.8123516,127.1492826, 천안시사회복지협의회 ,천안시사회복지협의회,대한민국 충청남도 천안시 동남구 성황동 대흥로 276 2층,2019-09-01 2019-09-25
9,충청남도 천안시,36.781255,127.1642588, 천안시종합사회복지관 부설 장애인주간보호센터 봉사자 모집,천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-07-30 2019-12-31
10,충청남도 천안시,36.812406,127.1352052, 학습지원봉사자(자격증시험대비과정),품,대한민국 충청남도 천안시 동남구 봉명동 양지19길 12-13,2019-07-25 2019-12-31
11,충청남도 천안시,36.8361877,127.1377056, 목욕서비스  자원봉사자 모집,(주)그린케어,대한민국 충청남도 천안시 서북구 두정동 1030,2019-07-17 2019-12-31
12,충청남도 천안시,36.8001036,127.1581401, 지역아동 아침밥지원활동 차량지원,사단법인 미래를 여는 아이들,대한민국 충청남도 천안시 동남구 원성동 562-4,2019-07-15 2019-12-31
13,충청남도 천안시,36.8268547,127.1378742, 백석공동육아나눔터 지킴이 활동가 모집합니다,천안시건강가정지원센터,대한민국 충청남도 천안시 서북구 성정2동 동서대로 129-12 11층,2019-07-15 2019-12-31
14,충청남도 천안시,36.8361877,127.1377056, 이미용(컷트) 자원봉사자 모집,(주)그린케어,대한민국 충청남도 천안시 서북구 두정동 1030,2019-07-12 2019-12-31
0,충청남도 천안시,36.8019624,127.1365598, 개별 학습지도 (수학과학영어),천안여자단기청소년쉼터,대한민국 충청남도 천안시 동남구 봉명동 순천향3길 52 3층,2019-08-01 2019-08-31
1,충청남도 천안시,36.8174241,127.1341579, 천안남자단기청소년쉼터] 자원봉사자[멘토링꿈꾸미]를 모십니다 ,천안청소년단기남자쉼터,대한민국 충청남도 천안시 서북구 성정1동 개목5길 34 2층,2019-07-09 2019-12-31
2,충청남도 천안시,,, 어르신 노래교실 프로그램 자원봉사자 모집,천안성정종합사회복지관,,2019-07-09 2019-12-31
3,충청남도 천안시,36.7776883,127.1794187, 찾아가는 생활체육 서비스 스트레칭,충청남도시각장애인복지관,대한민국 충청남도 천안시 동남구 삼룡동 충절로 535-13,2019-07-01 2019-12-01
4,충청남도 천안시,36.8361877,127.1377056, 이미용 자원봉사자 모집,(주)그린케어,대한민국 충청남도 천안시 서북구 두정동 1030,2019-06-21 2020-06-30
5,충청남도 천안시,36.8105447,127.1099951, 이미용(컷트)봉사자 희망합니다,의료법인 해담의료재단,대한민국 충청남도 천안시 서북구 불당동 702,2019-06-18 2019-12-31
6,충청남도 천안시,36.8039436,127.1398591, 도시락 사랑나눔(도시락물품전달 및 말벗),사회복지법인 신창복지재단,대한민국 충청남도 천안시 동남구 봉명동 37-21,2019-06-13 2019-12-31
7,충청남도 천안시,36.8510995,127.1592829, 시설자원봉사,섬김노인복지센터,대한민국 충청남도 천안시 서북구 신당동 산43-9,2019-06-12 2019-09-30
8,충청남도 천안시,36.8510995,127.1592829, 어르신 목욕봉사,섬김노인복지센터,대한민국 충청남도 천안시 서북구 신당동 산43-9,2019-06-11 2019-09-30
9,충청남도 천안시,36.8366542,127.1310028, [천안] 기초한글수학 학습지도 자원봉사자 모집 ,사단법인 한빛회,대한민국 충청남도 천안시 서북구 두정동,2019-06-04 2019-12-31
10,충청남도 천안시,36.8178754,127.141714, 평일)초등 학습지도 봉사모집,솔로몬지역아동센터,대한민국 충청남도 천안시 서북구 성정동 694-7,2019-06-03 2019-08-31
11,충청남도 천안시,36.8044358,127.129115, 천안시노인종합복지관 수지침 봉사자 모집,천안시노인종합복지관,대한민국 충청남도 천안시 서북구 쌍용1동 1038,2019-05-28 2019-12-31
12,충청남도 천안시,36.8304559,127.1393864, 평일 자원봉사자 모집 ,효누리요양원,대한민국 충청남도 천안시 서북구 부성동 오성로 107 8층,2019-06-01 2019-08-31
13,충청남도 천안시,36.812406,127.1352052, 네일아트 피부관리프로그램 교사 모집,품,대한민국 충청남도 천안시 동남구 봉명동 양지19길 12-13,2019-05-03 2019-12-31
14,충청남도 천안시,36.812406,127.1352052, 홈페이지 운영관리자 모집,품,대한민국 충청남도 천안시 동남구 봉명동 양지19길 12-13,2019-05-03 2019-12-31
0,충청남도 천안시,36.781255,127.1642588, 천안시종합사회복지관 봉사자 모집,천안시종합사회복지관,대한민국 충청남도 천안시 동남구 삼룡동 332-11,2019-06-03 2019-12-31
1,충청남도 천안시,36.812406,127.1352052, 가정식 조리활동,품,대한민국 충청남도 천안시 동남구 봉명동 양지19길 12-13,2019-04-16 2019-12-31
2,충청남도 천안시,36.7776883,127.1794187, 수영교실 자원봉사자 모집,충청남도시각장애인복지관,대한민국 충청남도 천안시 동남구 삼룡동 충절로 535-13,2019-04-27 2019-10-12
3,충청남도 천안시,36.7499031,127.1296561, 년 로즈마리너싱홈에서 봉사자를 모집합니다,로즈마리너싱홈,대한민국 충청남도 천안시 동남구 풍세면 미죽로 33,2019-01-01 2019-12-31
4,충청남도 천안시,36.7767175,127.1792465,  방문공연봉사단체 모집 ,효자의집,대한민국 충청남도 천안시 동남구 삼룡동 41-12,2019-03-26 2020-03-26
5,충청남도 천안시,36.76595,127.3021996, 아우내은빛복지관 경로식당 봉사자 모집,아우내은빛복지관,대한민국 충청남도 천안시 동남구 병천면 병천2로 51,2019-01-01 2019-12-31
6,충청남도 천안시,36.812406,127.1352052, 도배 및 장판시공,품,대한민국 충청남도 천안시 동남구 봉명동 양지19길 12-13,2019-06-01 2019-11-30
7,충청남도 천안시,36.8721947,127.2094504, 아동귀가지도 및 차량운행,천안사랑지역아동센터,대한민국 충청남도 천안시 서북구 성거읍 천흥4길 72-3,2019-02-23 2020-02-29
8,충청남도 천안시,36.8145137,127.1785417, 아기돌보기봉사자를 모집합니다,구세군 아름드리,대한민국 충청남도 천안시 동남구 유량동 태조산길 142-4,2019-03-06 2019-12-18
9,충청남도 천안시,36.8225551,127.1408156, 은빛쉼터 무료급식 조리보조 봉사 모집  ,천안시수어통역센터,"대한민국 충청남도 천안시 서북구 봉정로 113 용현빌딩,성정동) 3층",2019-02-13 2019-12-31
10,충청남도 천안시,36.8105447,127.1099951, 이미용(컷트)봉사자 희망합니다,의료법인 해담의료재단,대한민국 충청남도 천안시 서북구 불당동 702,2019-01-29 2019-12-31
11,충청남도 천안시,36.9156724,127.1304887, 밑반찬배달서비스 반찬준비 및 청소,성환재가노인복지센터,대한민국 충청남도 천안시 서북구 성환읍 성환중앙로 24-7,2019-01-16 2019-12-31
12,충청남도 천안시,36.8044358,127.129115, 천안시노인종합복지관 미용봉사자 모집,천안시노인종합복지관,대한민국 충청남도 천안시 서북구 쌍용1동 1038,2019-01-07 2019-12-31
13,충청남도 천안시,36.812406,127.1352052, 캘리그라피 강사 요청,품,대한민국 충청남도 천안시 동남구 봉명동 양지19길 12-13,2019-05-19 2019-12-31
14,충청남도 천안시,36.8721947,127.2094504, 장애인목용봉사보조,천안사랑지역아동센터,대한민국 충청남도 천안시 서북구 성거읍 천흥4길 72-3,2019-01-08 2019-12-31
0,충청남도 천안시,36.7669366,127.1761831, 이미용 봉사자 구합니다,동산요양원,대한민국 충청남도 천안시 동남구 목천읍 응원리 259-39,2018-11-08 2019-12-31
1,충청남도 천안시,36.8304054,127.1390126, 이미용봉사모집합니다,정다운요양원,대한민국 충청남도 천안시 서북구 부성동 오성로 103 8층,2018-10-22 2019-10-22
2,충청남도 천안시,36.8721947,127.2094504, 어르신과 함께하기,천안사랑지역아동센터,대한민국 충청남도 천안시 서북구 성거읍 천흥4길 72-3,2018-12-27 2019-12-31
3,충청남도 천안시,36.8721947,127.2094504, 아동과 놀이주기 프로그램지도 및 환경정리,천안사랑지역아동센터,대한민국 충청남도 천안시 서북구 성거읍 천흥4길 72-3,2018-09-18 2020-12-31
4,충청남도 천안시,36.8721947,127.2094504, 아동학습지도 프로그램 및 환경정리 등,천안사랑지역아동센터,대한민국 충청남도 천안시 서북구 성거읍 천흥4길 72-3,2018-09-18 2020-12-31
5,충청남도 천안시,36.8721947,127.2094504, 아동지도 및 기타시설보조업무,천안사랑지역아동센터,대한민국 충청남도 천안시 서북구 성거읍 천흥4길 72-3,2018-08-26 2020-12-31
6,충청남도 천안시,36.7730117,127.1269451, 밑반찬 만들기 보조업무,한숲복지재단 느티나무노인복지센터,대한민국 충청남도 천안시 동남구 신방동 통정7길 5-2,2014-06-30 9999-12-31
