,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,충청북도 충주시,36.9663414,127.9451795, 초등학생 학습지도 및 말벗 ,한빛지역아동센터,대한민국 충청북도 충주시 교현동 남산10길 17-1,2019-08-19 2019-12-31
1,충청북도 충주시,36.9743353,127.9163254, 다문화가족 이중언어말하기대회 행사 보조 ,충주시다문화가족지원센터,대한민국 충청북도 충주시 봉방동 봉방9길 12,2019-09-06 2019-09-06
2,충청북도 충주시,36.9937673,127.9311436, [충주시육아종합지원센터] 센터 업무보조,충주시육아종합지원센터,대한민국 충청북도 충주시 칠금.금릉동 40,2019-08-06 2019-08-31
3,충청북도 충주시,36.9806233,127.9243389, 충주시노인복지관 남부분관 경로식당 자원봉사자 모집,충주시노인복지관,대한민국 충청북도 충주시 교현동 688-1,2019-08-12 2019-12-31
4,충청북도 충주시,36.9879813,127.9285965, 충주삼성요양원 노인자원봉사 모집,충주삼성요양원,대한민국 충청북도 충주시 연수동 국원대로 184 2층,2019-07-04 2019-12-31
5,충청북도 충주시,36.9685414,127.9230616, 외출지원봉사자 ,꿈터,대한민국 충청북도 충주시 문화동 2274,2019-07-01 2019-12-29
6,충청북도 충주시,,,  학습정서지원 멘토링 정기봉사,충주시건강가정지원센터,,2019-03-27 2019-12-31
7,충청북도 충주시,,, 꿈틀공동육아나눔터 호점 상시프로그램 자원봉사자(재능기부자),충주시건강가정지원센터,,2019-02-25 2019-12-31
8,충청북도 충주시,36.9618322,127.9332892, 지역아동센터 봉사,충북지역아동센터,대한민국 충청북도 충주시 지현동 남산로 10 2층,2018-12-06 2019-12-31
9,충청북도 충주시,36.9910113,127.9259497, 재가노인식사배달(도시락배달) 자원봉사자모집,충주종합사회복지관,대한민국 충청북도 충주시,2018-08-20 2019-12-31
10,충청북도 충주시,36.9910113,127.9259497, 경로식당무료급식(어르신무료급식봉사),충주종합사회복지관,대한민국 충청북도 충주시,2018-08-20 2019-12-31
11,충청북도 충주시,37.0638085,127.9706376, 시설봉사,참좋은집,대한민국 충청북도 충주시 산척면 영덕리 262-1,2018-04-03 2019-12-31
12,충청북도 충주시,36.9746254,127.9320706, 초중고생 학습지도 봉사모집,그린지역아동센터,대한민국 충청북도 충주시 성내.충인동 충인1길 48-1,2019-01-01 2019-12-31
